Unnamed: 0,text,labels
837,bidhaa ilikuwa bora na inafanya kazi vizuri kuliko ya verizon na bei ilikuwa rahisi,positive
838,imetengenezwa kwa nguvu sana,positive
839,ilifanya vyema,positive
840,imefanya kazi nzuri,positive
841,bora nimepata hivi sasa nimejaribu bluu zingine na hii ina ubora bora kwangu na msikilizaji na urahisi wa kutumia,positive
842,bei ilikuwa nzuri sana na kwa usafirishaji wa bure na yote yalikuwa ununuzi mzuri,positive
843,faida kamera nzuri picha nzuri sana pia ina mitindo mizuri kama nyeusi na nyeupe na zaidi,positive
844,ubora wa sauti kwenye mwisho wote ni bora,positive
845,ni vizuri sana kwenye sikio,positive
846,simu hii ni ndogo na nyepesi na onyesho ni nzuri,positive
847,nimefurahiya sana ununuzi wangu,positive
848,imekuwa mshindi kwetu,positive
849,sauti nzuri,positive
850,nimekuwa na bluu yangu kwa wiki chache lakini ninaipenda sana,positive
851,ni ndogo sana na haujui hata kuwa iko baada ya muda wa kuizoea,positive
852,kiliwekwa vizuri ili kuepusha uharibifu wowote,positive
853,ninapendekeza kabisa,positive
854,vitu vizuri sana kwa bei poa,positive
855,sikuwa na shida kuunganisha,positive
856,simu hii ni haraka sana na kutuma aina yoyote ya ujumbe na kuvinjari kwa wavuti ni haraka sana kuliko simu za zamani ambazo nimetumia,positive
857,bidhaa hii ni ya kupendeza na inafanya kazi kikamilifu,positive
858,na napenda rangi tu,positive
859,duka bora mkondoni,positive
860,mashaallah mtoto mzuri huyu,positive
861,matukio yalitufurahisha sisi,positive
862,tulifurahia matukio hao,positive
863,tulikuwa na furaha japo marehemu alikuwa rafiki yetu,positive
864,furaha ilitanda,positive
865,walifurahi walipoambiwa habari njema,positive
866,hio ni habari njema,positive
867,watoto wetu walifanya vyema,positive
868,wanafaa kutuzwa kutokana na juhudi zao za kupigania haki za kina mama,positive
869,rais alifurahi kuona timu ya nchi yake ikituzwa zawadi kemkem,positive
870,walifurahi tulipowaambia habari zenu,positive
871,nilifurahi waliponiambia twende nyumbani kwa baba,positive
872,babu anawapenda wajukuu wakee,positive
873,mawaidha yake yalitufaa sisi,positive
874,tulipita mtihani,positive
875,atafurahi kusikia mkee wake ni mjaa mzito,positive
876,dawa hiyo ime nifaa sana nimepata nafuu,positive
877,wachezaji wanapenda kufunga mabao,positive
878,alimpenda msichana yule wa kike sana,positive
879,kuna vitabu vingi vizuri huku maktabani,positive
880,kitabu hiki ni kizuri sana,positive
881,viazi vile vinaonekana,positive
882,kiazi kile kinaonekana,positive
883,tulipenda walivyo kuwa wakiimba,positive
884,huyo mtu ana nguvu nyingi sana,positive
885,mswada wapendekeza halmashauri mpya kusimamia sekta ya majani chai,positive
886,bado nawapenda wote,positive
887,bila shaka ni miongoni mwa wasanii wanaoibukia wanaoendelea kuvumisha jukwaa la muziki wa kumtukuza mungu kwa mitindo ya kizazi kipya inayoendelea kuchangamsha wengi,positive
888,kadhalika anajivunia kutunukiwa kipaji cha uigizaji,positive
889,ninaamini nina uwezo tosha kufanya vizuri katika muziki na kufikia upeo wa juu kama ilivyo kwa wanamuziki wengine wanaotunga nyimbo za kumtukuza mungu,positive
890,anahisi nyimbo hiyo itafanya vizuri kuliko zingine alizowahi tunga,positive
891,msanii bora wa kiume,positive
892,ya kuvutia,positive
893,inavutia sana,positive
894,lakini sio saa mbaya,positive
895,kibeng itabaki kuwa kileleni bila kelele hata wakifunga kibao,positive
896,upande wa uchukuzi wa mizigo uliimarika,positive
897,hiyo ni kazi nzuri,positive
898,swadakta kabisa kwa kazi nzuri,positive
899,shwari kabisa,positive
900,asante kwa kuepuka kifo na kuwaelimisha vijana wengine,positive
901,hongera,positive
902,ningependa kuipongeza serikali yetu ya kitaifa hasa wanajeshi wetu kwa juhudi zao katika kuleta amani eneo hili,positive
903,lamu ni shwari na salama kwa uwekezaji,positive
904,lamu ni pahala patulivu na lazima kila mmoja ajivunie kuwa hapa,positive
905,c naishi ngambo ya ethiopia na ninapendezwa na ngoma za platnumz,positive
906,hiyo ni kweli lakini ukiugeuza umaarufu huo wa wema na kuupeleka katika muktadha wa biashara na jinsi anavyokubalika hakuna anayemfikia wema,positive
907,wema ni brand inayouzika kirahisi,positive
908,kuandikwa mara kwa mara kwenye magazeti ya udaku ambapo mara nyingi si kwa kupenda yeye kumemfanya wema awe dhahabu inayotamaniwa kushikwa na kila mtu,positive
909,habari za wema hapa bongo zimekuwa zikipata hits kusomwa zaidi kuliko habari yoyote ya staa yoyote yule unayemjua hapa tanzania,positive
910,story za wema husomwa zaidi na kupata comments nyingi kuliko za wengine wote,positive
911,kama leo hii wema akisema aanzishe bidhaa yoyote inayowalenga vijana haitachukua muda kushika na kutafutwa kama njugu,positive
912,wema sepetu ni mwanamke mwenye ushawishi mkubwa,positive
913,wema ni show stopper kama akiingia ukumbini kwenye shughuli shughuli hiyo husimama kwa muda kutokana na watu kugeuka kutaka kumwangalia kwa uzuri zaidi wakati akielekea sehemu ya kukaa,positive
914,sauti yake yenye mamlaka na ubunifu hewani ulikifanya kipindi hicho kuwa maarufu kuliko vingine vya burudani katika radio hiyo inayomilikiwa na kampuni ya ipp,positive
915,si maarufu tu redioni bali pia ndiye mtangazaji wa tanzania mwenye mashabiki wengi zaidi kwenye mitandao ya kijamii,positive
916,nancy sumari ni msichana mrembo mpole na mcheshi,positive
917,ay ni msanii smart mbunifu risk taker na anayeijua biashara ya muziki,positive
918,fareed kubanda si rapper anayeheshimika tu kama mwandishi mkali wa mashairi bali pia anatambulika kwa kujihusisha kwake na shughuli za kijamii,positive
919,ndiye msanii wa kike tanzania anayeheshimika na mwenye mafanikio zaidi,positive
920,ni muigizaji wa kiume anayependwa zaidi kwa sasa na filamu zake zimekuwa kivutio kwa watu wengi wa kila rika,positive
921,ngoma hiyo ilipokelewa vizuri na mashabiki wa muziki na miongoni mwa nyimbo zilizopata downloads nyingi zaidi mtandaoni,positive
922,ni mcheshi mrembo na ambaye siku zote hupenda kuwapa moyo hata wale ambao uwezo wao ni mdogo,positive
923,ni msichana mrembo anayejiamini na machachari hewani huku akiwa na fanbase ya nguvu,positive
924,king majuto ni mchekeshaji bora zaidi nchini kuliko wachekeshaji wote,positive
0,basi sipati kuwezeshwa haya ila na mwenye kukufuru,negative
1,thamani bora kabisa,positive
2,kubwa kwa utaya,positive
3,akiwa amefungwa kwa ajili ya mazungumzo ya muda unaozidi matatizo ya dakika,negative
4,paper size,positive
5,ni lazima tufyoge kwenye plagi ili kunyoosha mstari wa kulia ili kupata kiasi kinachofaa cha sauti,negative
6,unapowasiliana na watu au mamia kadhaa wazia furaha ya kutuma kila mmoja wao moja baada ya mwingine,negative
7,na mkiwa na janaba basi ogeni,positive
8,kusema bila sababu natumia vibaya pesa zangu,negative
9,zinazo kwenda kisha zikajificha,negative
10,na uzuri ulioje kuwa pamoja na watu hao,positive
11,alivutiwa sana alipokuwa akienda kutoka betri ya awali hadi betri iliyopanuka,positive
12,ikiwa wote wawili wangepasuliwa kwa meta tano tu tulianza kuona tuli na kuvalishwa sauti kutoka kwenye sehemu ya kichwa,negative
13,ingawa ni sifa nzuri sana,positive
14,umbo la sikio ni la ajabu sana kwa kuwa kisehemu cha sikio hakistareheshi hata kidogo,negative
15,inapendekezwa sana kwa yeyote aliye na simu ya buluu ya meno,positive
16,na kumbusha isije nafsi ikaangamizwa,negative
17,kwa uzuri sana,positive
18,ni kazi kubwa,positive
19,linabonyeza kwa njia inayokufanya ujiulize ni kwa muda gani kifaa hicho kingedumu,negative
20,nilikwenda kwenye tovuti ya burolas na kufuata mielekezo yote lakini sikuweza kuipata tena kuwa na wenzi wawili,negative
21,nilinunua hii ili nitumie na moto wangu wa kuwasha na nikaupenda kabisa,positive
22,matangazo ya biashara ni yenye kupotosha zaidi,negative
23,bado sijatumia betri hii mpya chini ya baa mbili na ambayo siku tatu hailipizi malipo,positive
24,nilinunua kwa ajili ya mama yangu naye alikuwa na tatizo la betri,negative
25,simu nyingi za mkononi,positive
26,ukiwa umemiliki simu hii kwa miezi sasa na unaweza kusema kwamba simu yake bora zaidi ya mkononi ilikuwa nayo,positive
27,sikufikiri kwamba maagizo yaliyotolewa yalinisaidia,negative
28,watu wangeweza kunisikia nikiongea na nililazimika kutoa simu ya mkononi na kuongea kupitia simu,negative
29,paper size,negative
30,hii ni simu sahili ya kutumia lakini mapumziko hayakubaliki,negative
31,bidhaa hii inafaa kwa watu kama mimi ambao masikio yao yanaathiriwa sana,positive
32,gari linalosonga kwa mwendo wa kasi haliwezekani,negative
33,nina miaka miwili zaidi katika mkataba huu na ninaichukia simu hii,negative
34,mtoza gari na vilevile kifaa cha kutoza maji hutiwa ndani ili kuhakikisha kwamba hutoi maji ya matunda yanayopendekezwa,positive
35,unahitaji angalau min ili upate kitabu chako cha simu kuanzia unapofungua kwa mara ya kwanza maisha ya simu ni mafupi,negative
36,imeendelea vizuri sana,positive
37,kutozungumza vizuri wakati unapofanya mazoezi,negative
38,kesi hiyo ni kubwa na inafanya kazi vizuri kwa wale,positive
39,bidhaa isiyo na thamani,negative
40,lina kamera kubwa ambayo inapiga picha mbili na picha ni nzuri na nyangavu kwa picha nzuri,positive
41,mimi sikuvutiwa na bidhaa hiyo,negative
42,kitambaa kizuri cha kichwani kilichopunguzwa bei sawasawa,positive
43,nasikia tu takataka kwa sauti,negative
44,unao babua ngozi ya kichwa,positive
45,lina mambo yote ninayotaka,positive
46,ni nani mwenye akili timamu anayenunua betri hii,negative
47,baada ya kubishana na verizon kuhusu simu zilizoangushwa tulirudisha simu baada ya siku mbili,negative
48,mfano huu umetayarishwa vizuri,positive
49,kukatishwa tamaa na betri,negative
50,si kwa sauti ya kutosha na haugeuki kama inavyopaswa,negative
51,ulinzi mzuri na haupigi simu kwa wingi sana,positive
52,kibodi inayoweza kutumiwa huifanya piano kuwa mashine muhimu badala ya kifaa nadhifu,positive
53,simu hii ni imara sana na haijawahi kamwe kuwa na matatizo makubwa nayo,positive
54,napenda kitu hiki,positive
55,kila kitu kinachoihusu ni kizuri na cha kiasi kwa bei ya chini,positive
56,alivunjika moyo sana,negative
57,hata niliiangusha simu hii ndani ya kijito na kuizamisha kwa sekunde na bado inafanya kazi kubwa,positive
58,nimefurahishwa sana na wale na sikuwa na malalamiko yoyote kutoka kwa yeyote kuhusu ubora wangu wa sauti mwishoni mwao,positive
59,vidude vya kuendelea na kuondoka ni vibaya,negative
60,unaweza hasa kusahau vitu vidogo vidogo vinavyotegemeza teknolojia,negative
61,ninapendekeza alama hizo kwa kuwa huonekana kuwa nzuri na yenye ubaridi,positive
62,hedifoni hizi zilikuwa ugunduzi mkubwa na na nafikiri labda ndizo kitu bora zaidi kilichonunuliwa katika miaka kadhaa iliyopita kwa uzito,positive
63,nunua simu tofauti lakini si hii,negative
64,ni lazima ushike simu kwa pembe hususa ili yule mwingine akusikie vizuri,negative
65,hasara moja kubwa ya mchezaji huyo ni kwamba vidude vilivyo kwenye simu za mkononi hukuwezesha kutua na kucheza nyimbo baada ya sekunde chache,negative
66,juma moja baadaye baada ya mimi kuichochea ilikufa ghafula,negative
67,yeye hujihisi mwenye starehe kuliko vichwa vingi kwa sababu mimi huvaa miwani na nyakati nyingine huvaa miwani,positive
68,kubwa kwa ajili ya pipodi pia,positive
69,kifaa hiki ni kikubwa katika hali kadhaa,positive
70,si rahisi kufanya kazi,negative
71,hata katika mfululizo wangu wa makala ambao ni kimya kabisa ni vigumu kusikia yale ambayo yule mtu mwingine anasema,negative
72,chaguo kuu,positive
73,stesheni nzuri ya bandari kwa ajili ya nyumba au kazi,positive
74,hii ni simu nzuri,positive
75,penda bidhaa hii,positive
76,usinunue nguo za d zilizotangazwa kimakosa kwa ajili ya d,negative
77,hicho ni kitu kidogo kikubwa,positive
78,naipenda simu hii kuwa yenye mafaa sana na ina mambo mengi,positive
79,nilinunua hiki na ndani ya siku hakikuwa kikifanya kazi tena,negative
80,ninakivaa kila siku na kukishikilia vizuri sana,positive
81,si bei ghali,negative
82,kilifungwa vizuri kwa wakati na kazi kama zilivyokusudiwa,positive
83,betri yaanza kupungua haraka,negative
84,kitu hiki kilifanya kazi kubwa lakini kikavunjika baada ya miezi ya kutumiwa,negative
85,vichwa ni rahisi kuvitumia na kila mtu anawapenda,positive
86,simu hii ina matokeo mazuri,positive
87,ujenzi wa vichwa vya vichwa ni wa hali ya chini,negative
88,bidhaa ilikuwa bora na bora kuliko ile ya verizon moja na mvulana ilikuwa bei nafuu,positive
89,simu huwa na vitu vingi sana,positive
90,kwa ajili ya bidhaa inayogharimu kama hii inavyotazamiwa kufanya kazi vizuri zaidi na kwa urahisi zaidi kuliko ilivyo kwa jambo hili,negative
91,mwenye kutua akatulia,positive
92,alifanya kazi kwa bidii,positive
93,sikio onji hucheza muziki katika sikio moja tu,negative
94,usipoteze pesa zako,negative
95,wanazungushiwa kikombe chenye kinywaji cha chemchem,positive
96,ukipanga kutumia hili katika gari lasahau hilo,negative
97,imepata bidhaa hii kuwa kubwa mno,negative
98,kitu bora zaidi kilichopatikana kufikia sasa kilijaribu viyoto vingine vya buluu na hiki kina ubora bora zaidi kwangu na kwa msikilizaji na pia kwa urahisi wa kutumia,positive
99,nikiwa nimekatishwa tamaa sana na uamuzi wangu,negative
100,imeunganishwa pamoja na simu ya gari aina ya razr,positive
101,mnunuzi hutahadharisha kwamba ungeweza kuvuta fedha chooni,negative
102,bila shaka bei ni nafuu,positive
103,bei ilikuwa nzuri sana na kwa meli zilizo huru na vyote vilikuwa ununuzi mzuri,positive
104,nilipokea gari langu lililodhaniwa kuwa jipya na inaonekana kwamba hakukuwa na kiberiti kati ya simu na mtunzi,negative
105,kamera maridadi pia zina mitindo yenye ubaridi kama vile nyeusi na nyeupe na zaidi,positive
106,kwamba kuna kasoro kubwa ya ubuni isipokuwa tu usiitumie ifaavyo ambayo sifikiri hivyo ndivyo ilivyo,negative
107,naipenda kichwa changu na kuweka kichwa changu cha rangi ya buluu ya jastra ni kizuri sana na kidokezo cha sikio ni kitu cha kustarehesha,positive
108,kamera hiyo ingawa inakadiriwa kuwa ina kamera yenye kuvutia sana ya megaksi hutoa picha zinazoanguka sana chini ya matazamio ya azimio hilo la juu kwa kulinganishwa,negative
109,ipurkated hii kwa ajili ya msimamizi wa gari na haifaulu,negative
110,ubora wa sauti kwa pande zote mbili ni bora kabisa kwangu kutumia kichwa kuniita mke wangu na kumwomba mke wangu atumie vichwa ili kuniita,positive
111,simu hii ni nyembamba na nyepesi na inavutia,positive
112,yake kidogo lakini nafikiri kwamba ngono yake yazunguka zunguka juu ya mkate mzito na kuisukuma kwa mawe na kufanya ngono hadi kwenye betri yake ikiwa na sanduku la ngozi la mtindo wa kimtindo,positive
113,meli kubwa ya kusafirisha bidhaa haraka,positive
114,ni mkuu kabisa,positive
115,kibodi ni uridhiano mzuri kati ya nambari kamili ya simu ya mkononi na nambari ya msingi ya simu ya mkononi,positive
116,nilifikia simu hii mwishoni mwa hali yangu na kukosa furaha kabisa nayo,negative
117,hakika huo utafungiwa nao,positive
118,bila ya shaka hii ni haki yetu,positive
119,mitumbwi imekuwa sahili zaidi,positive
120,imejaribiwa vidole kadhaa vya masikio kwa simu yangu ya mkononi na hiki jastra ni chombo cha kwanza kilichopatikana ambacho hutoshea sikio langu vizuri,positive
121,hakuweza kupata ishara za kutosha,negative
122,iam ilipendezwa sana na ununuzi wangu,positive
123,sifa mbaya,negative
124,hufanya kazi hiyo,positive
125,sauti kubwa,positive
126,kwa msingi utumishi ulikuwa mbaya sana,negative
127,haikufanya kazi katika plagi ya simu yangu ya mkononi ni kama imewekwa na msimamizi,negative
128,kwa muda wa majuma machache tu nilikuwa na rangi ya buluu lakini ninaipenda sana,positive
129,kichwa cha bt kilikuwa kipingamizi kama hicho,negative
130,ni mdogo sana na hata hung amui kwamba upo baada ya muda wa kuzoea jambo hilo,positive
131,programu inayoambatana nayo ni nyangavu sana,positive
132,vifaa vya kufunika kichwa vilipakiwa vizuri ili kuepuka madhara yoyote,positive
133,i definlypendekeza,positive
134,mnunuzi mwangalifu sana,negative
135,mengi ya vichwa vya keartewbud yalishindwa kufanya kazi,negative
136,vitu vizuri sana kwa bei,positive
137,kichwa changu hufanyia kazi pichrykeen tu,positive
138,ndani ya nyumba yangu nilikuwa nikiangusha magazeti kwenye orofa ya juu bila ya kuweka habari zozote katika chumba changu cha chini ya ardhi,negative
139,sauti inatambuliwa sana,positive
140,unao babua ngozi ya kichwa,negative
141,katika dakika kadhaa tofauti tofauti za simu i walipiga hizo mara na ilikuwa katika eneo lenye baa,negative
142,mimi sikufurahishwa na habari hii,negative
143,alivunjika moyo sana,negative
144,simu huchukua muda wa saa hadi kwa halisi,negative
145,nilifikia simu hii kwa kupigiwa upya kutoka kwa mtu wa ukoo na kwa furaha ilikuja,positive
146,huu ndio ufikisho,negative
147,karamu yake ni maskini sana,negative
148,vitu vinavyotajwa katika ufafanuzi huo havitiwi ndani,negative
149,baada ya miezi kiwambo cha video kiliacha kuwa cheusi kwa ghafula,negative
150,mimi nilikuwa na matumaini ya kupata zaidi,negative
151,ubora wa sauti ni mbaya sana,negative
152,sikuwa na tatizo lolote na kichwa hiki kilichounganisha mpindo wangu wa blackberry,positive
153,ninajua hilo laonekana kuwa jambo la kuchekesha lakini kwangu lilionekana kama tekinolojia ya michoro ambayo ingefanya kazi vizuri sana huyu ni maarufu,positive
154,alinunua vidude vya kuchezea vyenye nyaya vinavyosikika vizuri kuliko vile vinavyosikika,negative
155,simu hii ni ya haraka sana kwa kutuma ujumbe wa aina yoyote na kupitia mtandao ni ya haraka zaidi kuliko simu za awali ambazo nimetumia,positive
156,sifa nzuri hujenga tofauti na zile za bei ya chini huko,positive
157,kitu hiki ni kizuri ajabu na kinafanya kazi kikamilifu,positive
158,na rangi zilizo jaa,positive
159,w i ni nzuri sana,positive
160,yote ninayoweza kufanya ni sawa kwenye mtandao wa intaneti kwa hiyo hapa ni sawa kutumia kitu kidogo kama hiki,negative
161,mwendeshaji mkuu,positive
162,kwa msingi huu ni chombo cha mawasiliano kisichowasiliana,negative
163,hufanya kazi kama kitu cha kuvutia kama ile ambayo mimi alipata kwa simu,positive
164,bado ninasisitiza kwamba tumbili hutengeneza vidude vya kusikiliza sauti ambavyo kwa wazi hatushirikina vya kutosha kuiga ubuni huo kwa wanadamu,negative
165,thamani kubwa,positive
166,inafanya kazi ya kui bougth kwa ajili ya l c wangu na kile kisichofanya kazi,negative
167,sehemu yake ya ndani ni yenye ncha kali sana na kiwambo ni kizuri na wazi kwa picha nyingi,positive
168,haidumu kwa muda mrefu,negative
169,jambo moja ambalo ninachukia ni namna ya kifungo cha kando,negative
170,utumishi bora kabisa,positive
171,asanteni kwa kupoteza pesa zangu,negative
172,ni jinsi gani ubora huo wa sauti ulivyo duni,negative
173,wasimamizi wa igo na madokezo ni makubwa sana,positive
174,kikanyagio cha faili chatoa chaguo lote ambalo mtu ahitaji bila malipo ni kubwa,positive
175,simu ya mkononi kwenye mtandao mkubwa,positive
176,iliunganisha mke wangu bluetothmotorola h kwa simu yangu na ilikuwa kama hirizi kama simu ilikuwa mfukoni mwangu au kwenye kisanduku cha kesi,positive
177,naweka okski za karibuni zaidi juu yake v g na sasa hupenda kupunguza mwendo wa kutambaa na kufunga kila mara kwa muda,negative
178,anaitambua tu simu kuwa kifaa chake cha kuhifadhi,negative
179,ikiwa unapenda kelele kubwa ili kushinda mazungumzo yako yote basi simu hii ni yako,negative
180,usinunue bidhaa hii,negative
181,kituo hicho kilikuwa na kichwa cha rangi ya bluu natoothi kwa muda fulani sasa na bado hakistareheshwi na jinsi kinavyotoshea sikioni,negative
182,ubora wa sauti ni mzuri na hufanya kazi ni wenye kutisha,positive
183,nina simu hii na ni mwiba upande wangu na huuchukia sana,negative
184,hivi majuzi nilikuwa na matatizo mahali ambapo singeweza kukaa tukiunganishwa kwa zaidi ya dakika kabla ya kutenganishwa,negative
185,la kustaajabisha,positive
186,kasoro ya ubuni,negative
187,simu ya juu,positive
188,haki za paa,negative
189,lakini ninapoangalia ujumbe wakati wa usiku taa ya ufunguo ya nyuma hugeuka sekunde chache kuingia katika ujumbe wa kwanza kisha ipoteze fahamu,negative
190,mtu mwingine alikufa baada ya majuma machache,negative
191,simu nzuri za mkononi za kununua,positive
192,hivi karibuni wamekuwa wazuri sana na wenye kusaidia kwenye simu,positive
193,nimekuwa na matatizo ya akili kupoteza ishara za mwili na nyingine zaidi,negative
194,haikuvutia,negative
195,uzito mwepesi hauwezi kuonekana huko,positive
196,mwanasesere anapenda jinsi alivyo mwembamba,positive
197,uamuzi mbaya,negative
198,ile kesi ya dethed haifai,negative
199,simu zisizofaa ni za viziwi tu,negative
200,rangi hiyo ni maridadi kuliko nilivyofikiri na picha zake ni kali sana,positive
201,zote nafikiri zilikuwa kitega uchumi kizuri,positive
202,huvuma kwa njia ya ajabu sana kabla hajamaliza mlio,negative
203,kifaa bora zaidi cha elektroni cha transm,positive
204,betri hudumu kwa muda wa saa chache tu,negative
205,mwenye kichwa kikubwa alivutiwa sana na h,positive
206,kamera kubwa mno ya pixel ikiwa sehemu ya simu kwa kiasi cha kutosha ni pamoja na,positive
207,nilikuwa na kazi hiyo kwa karibu miaka na imenisaidia sana,positive
208,kaseti za kupitisha habari,positive
209,hakika sisi ndio wenye kutuma,negative
210,sikujishughulisha na kuwasiliana na kampuni hiyo kwa bei ya dola chache lakini mimi nilipata somo la kwamba mimi nisingalipaswa kununua fomu hii mtandaoni hata hivyo,negative
211,ukichukia vibano vya masikio huepuka simu hii kwa vyovyote,negative
212,bei kubwa pia,positive
213,safu ni nzuri sana kuweza kutembea tembea nyumbani kwangu kwa simu katika sebule bila masuala ya ubora wa hali ya juu,positive
214,utumishi wa haraka,positive
215,laiti ungependekeza sana jambo hili,positive
216,ningependekeza jambo hili,positive
217,pia sikupenda kile kifungo kilichobaki kana kwamba kingepasuka kwa utumizi,negative
218,simu mbaya zaidi kuwahi kupigwa,negative
219,bado anapumbazwa na simu hii,positive
220,mganda mara nyingi,negative
221,aina yake ya aibu kutumia kwa sababu ya sura yake na hasa aibu yake kwa jinsi kampuni hiyo ilivyo kama mtoto,negative
222,nyepesi na nzito,positive
223,yote kwa ujumla yalitazamia uzoefu bora zaidi wa ununuzi kutoka kwa motaola,negative
224,sauti ya kupe yenye kuogofya katika mandhari nyuma kwenye milio yangu yote ambayo sijawahi kuiona,negative
225,hakika hii bila ya shaka ni haki ya kupambanua,positive
226,kwa kawaida sipendi kufunga kichwa lakini huu ni mwepesi sana hauharibu nywele zangu,positive
227,anavunjika moyo kidogo,negative
228,nimekuwa na simu hii kwa zaidi ya mwaka mmoja sasa na ninakuambia hiyo si kubwa hivyo,negative
229,niliagiza hii kwa ajili ya sory ericsson w i lakini nafikiri ilifanya kazi mara moja tu nilipoitumia mara ya kwanza,negative
230,betri haina thamani yoyote kwangu,negative
231,huu ndio ufikisho,negative
232,usiupotezee huu,negative
233,sauti kubwa na utumishi,positive
234,sasa nimependezwa sana na bidhaa hiyo,positive
235,moja kati ya vitu ninavyopenda zaidi,positive
236,kivutio kizuri zaidi cha buluu sokoni,positive
237,ngozi halisi yenye mng aro na faraja nzuri inakupendekeza kisa hiki,positive
238,nilisisimuka sana kupata kichwa hiki kwa sababu nilifikiri kilikuwa chenye kuvutia kweli kweli,positive
239,usifanye kosa kama langu,negative
240,kukatishwa tamaa sana kwa kutumia kalenda,negative
241,simu haikuweza kuzimwa na haikuwa mpya,negative
242,huduma mbaya zaidi ya mteja wakati wowote,negative
243,mabuku ya masikio hayakutoa tena maagizo yoyote,negative
244,unababua ngozi iwe nyeusi,negative
245,thamani ya kila sarafu,positive
246,kisa bora kabisa cha simu ya mkononi,positive
247,vyeo vizuri vya sauti kwa bei na vinafanya kazi nyingi,positive
248,mtandao wa intaneti ni wa polepole sana,negative
249,inastarehesha sana kuvaa vizuri na labda ndiyo sehemu ya maana zaidi kuhusu kutumia kisa fulani,positive
250,linapatana na glove na ni lenye nguvu na lenye kudumu,positive
251,ondoe simu yangu ya mkononi iliyo bora zaidi ambayo tumepata kuwa nayo,positive
252,ni yenye kuvutia sana na huonekana kuwa bora,positive
253,ninawashukuru kwa mambo yote na umbo lake,positive
254,bidhaa hiyo ilikuwa na harufu kali ya mpira wa mpira wa rangi ambayo haikuvumilika baada ya muda fulani na ikanifanya niirudishe,negative
255,sifa mbaya na utumishi,negative
256,waya huonekana mwembamba sana na dhaifu sana hivi kwamba inatisha,negative
257,sakafu kubwa ya sikio,positive
258,kifaa bora kabisa cha mkononi bila malipo,positive
259,kwa kutumia stirio ya nyumbani kwako,positive
260,bidhaa yenye thamani ya ajabu,positive
261,mwezi mmoja tu ulikuwa na kazi yake lakini bila dosari yoyote kufikia sasa,positive
262,ni kazi kubwa,positive
263,follow foot,negative
264,kwamba ama yule aliyeshindwa kufanya kazi ama,negative
265,maisha ya betri ni mazuri sana,positive
266,nilirudi muda wa saa baadaye,negative
267,ambaye hutoa mali yake kwa ajili ya kujitakasa,positive
268,usipoteze pesa zako,negative
269,penda kichwa hiki,positive
270,si kwamba tu itaondoa hewa mwilini mwako bali pia huenda ikaihifadhi,negative
271,alifanya kazi kikamilifu,positive
272,kutotegemeka kwa kukata tamaa,negative
273,imetoa nyota kwa sababu ya ubora wa sauti,positive
274,,negative
275,plagi inayoweza kurekebishwa huwa na matokeo makubwa,positive
276,na nitumie kifaa hiki kidogo cha sikio kupoteza pesa zangu,negative
277,simu nzuri sana,positive
278,jambo bora zaidi ni sehemu inayozunguka ambayo inasaidia sana,positive
279,faraja kwa familia yetu yote,positive
280,bidhaa nzuri ya kuuzwa,positive
281,ninaipenda rangi hii ya bluu,positive
282,ya kwanza kabisa haivai vizuri,negative
283,nimevutiwa sana na kichwa hiki kilichowekwa kutoka kwa wataalamu wa elimu ya mimea,positive
284,niliipata kwa sababu ilikuwa ndogo sana na yenye kupendeza,positive
285,simu ya juu,positive
286,int alipendekeza kununua bidhaa hii,negative
287,sehemu ya takataka,negative
288,bafu la jicho lisilo na kasoro,negative
289,kitu hiki ni kikubwa na kiachi kitumiwe kupita kiasi na kimekuwa kikitenda mema kila wakati bila matatizo yoyote,positive
290,simu ya juu,positive
291,usiinunue,negative
292,paper size,positive
293,usinunue simu hii,negative
294,na alama nyengine na kwa wenye kukataza mabaya,positive
295,hii ni simu bora zaidi iliyowahi kupatikana,positive
296,hufanya kazi vizuri wakati paka wangu alipoishambulia simu aliyoikuna kwenye ukanda wa ulinzi badala ya kuharibu kiwambo,positive
297,haya ni ya kazi nayo ya bei nafuu,positive
298,utumizi wa wateja ulikuwa mbaya sana,negative
299,maisha ya betri bado si marefu vya kutosha katika nyembe za marola v i,negative
300,uirudishe,negative
301,sasa najua kwamba nilifanya uamuzi wenye hekima,positive
302,mtu fulani alivumbua hili mapema zaidi,positive
303,bei nzuri,positive
304,kila kitu kilichotumiwa katika jaribio la kwanza bila shaka kiliundwa kwa njia ya werevu na ujenzi uhisi vizuri,positive
305,kilipokewa kwa haraka na kwa matokeo mazuri,positive
306,hakika yeye ni mwenye bahati kubwa,positive
307,watu wengi walipolalamika kwamba mimi alipata maikrofoni hii ya vichwa vikuu kuwa dhaifu sana,negative
308,nokia mwenye umri wa miaka mitano kutoka tracfene anashikilia shtaka hilo vizuri kuliko hili,negative
309,hawajali mnunuzi hata kidogo,negative
310,hii ni betri nzuri na ilipata hapa kwa kasi sana,positive
311,kitabu cha maagizo hakipo,negative
312,pia ni mwembamba vya kutosha kutoshea ndani ya kituo changu cha kuweka kengele bila kuondoa hiyo kesi,positive
313,sasa simu hubeba mashtaka kama ilivyofanya ilipokuwa mpya,positive
314,betri haitegemeki na vilevile huduma zinazotumika kwa kuchana,negative
