Unnamed: 0,text,labels,tokens,corrected_tokens
419,plastiki hukatika kwa urahisi sana kwenye kipande hiki,negative,"['plastiki', 'hukatika', 'kwa', 'urahisi', 'sana', 'kwenye', 'kipande', 'hiki']","['plastiki', 'hukatika', 'kwa', 'urahisi', 'sana', 'kwenye', 'kipande', 'hiki']"
420,Bei ni nzuri pia,positive,"['bei', 'ni', 'nzuri', 'pia']","['bei', 'ni', 'nzuri', 'pia']"
421,Usifanye kosa hilohilo.,negative,"['usifanye', 'kosa', 'hilohilo']","['usifanye', 'kosa', 'hilohilo']"
422,oh na nilisahau pia kutaja athari ya ajabu ya rangi hiyo kwenye simu yako,negative,"['oh', 'na', 'nilisahau', 'pia', 'kutaja', 'athari', 'ya', 'ajabu', 'ya', 'rangi', 'hiyo', 'kwenye', 'simu', 'yako']","['oh', 'na', 'nilisahau', 'pia', 'kutaja', 'athari', 'ya', 'ajabu', 'ya', 'rangi', 'hiyo', 'kwenye', 'simu', 'yako']"
423,Na zinazo kwenda kwa wepesi.,positive,"['na', 'zinazo', 'kwenda', 'kwa', 'wepesi']","['na', 'zinazo', 'kwenda', 'kwa', 'wepesi']"
424,Pia eneo ambamo kikosi changu kilivunjika halipendeki sana ile kamba ya sumaku,negative,"['pia', 'eneo', 'ambamo', 'kikosi', 'changu', 'kilivunjika', 'halipendeki', 'sana', 'ile', 'kamba', 'ya', 'sumaku']","['pia', 'eneo', 'ambamo', 'kikosi', 'changu', 'kilivunjika', 'halipendeki', 'sana', 'ile', 'kamba', 'ya', 'sumaku']"
425,Kwa ujumla mimi huwa na nia ya kuwa na simu ambayo ina miadi yangu yote na mawasiliano yangu na kupokea ukaribishaji mkubwa,positive,"['kwa', 'ujumla', 'mimi', 'huwa', 'na', 'nia', 'ya', 'kuwa', 'na', 'simu', 'ambayo', 'ina', 'miadi', 'yangu', 'yote', 'na', 'mawasiliano', 'yangu', 'na', 'kupokea', 'ukaribishaji', 'mkubwa']","['kwa', 'ujumla', 'mimi', 'huwa', 'na', 'nia', 'ya', 'kuwa', 'na', 'simu', 'ambayo', 'ina', 'miadi', 'yangu', 'yote', 'na', 'mawasiliano', 'yangu', 'na', 'kupokea', 'ukaribishaji', 'mkubwa']"
426,kila kitu kwenye simu kinafanya kazi kikamilifu.,positive,"['kila', 'kitu', 'kwenye', 'simu', 'kinafanya', 'kazi', 'kikamilifu']","['kila', 'kitu', 'kwenye', 'simu', 'kinafanya', 'kazi', 'kikamilifu']"
427,Habari nyingine kuhusu sura hii ya simu ni kwamba kwa kweli huonekana kama bland hasa katika namna zote nyeusi,negative,"['habari', 'nyingine', 'kuhusu', 'sura', 'hii', 'ya', 'simu', 'ni', 'kwamba', 'kwa', 'kweli', 'huonekana', 'kama', 'bland', 'hasa', 'katika', 'namna', 'zote', 'nyeusi']","['habari', 'nyingine', 'kuhusu', 'sura', 'hii', 'ya', 'simu', 'ni', 'kwamba', 'kwa', 'kweli', 'huonekana', 'kama', 'bland', 'hasa', 'katika', 'namna', 'zote', 'nyeusi']"
428,Kwa kweli ni rahisi zaidi kwake,positive,"['kwa', 'kweli', 'ni', 'rahisi', 'zaidi', 'kwake']","['kwa', 'kweli', 'ni', 'rahisi', 'zaidi', 'kwake']"
429,sanyo ameokoka maporomoko mengi ya maji kwenye paa nyeusi bila athari mbaya,positive,"['sanyo', 'ameokoka', 'maporomoko', 'mengi', 'ya', 'maji', 'kwenye', 'paa', 'nyeusi', 'bila', 'athari', 'mbaya']","['sanyo', 'ameokoka', 'maporomoko', 'mengi', 'ya', 'maji', 'kwenye', 'paa', 'nyeusi', 'bila', 'athari', 'mbaya']"
430,Vipaza - sauti vyenye kuvutia vya sikio,positive,"['vipaza', 'sauti', 'vyenye', 'kuvutia', 'vya', 'sikio']","['vipaza', 'sauti', 'vyenye', 'kuvutia', 'vya', 'sikio']"
431,linapata simu yangu ya mkononi mara tu niingiapo ndani ya gari,positive,"['linapata', 'simu', 'yangu', 'ya', 'mkononi', 'mara', 'tu', 'niingiapo', 'ndani', 'ya', 'gari']","['linapata', 'simu', 'yangu', 'ya', 'mkononi', 'mara', 'tu', 'niingiapo', 'ndani', 'ya', 'gari']"
432,paper size,negative,"['paper', 'size']","['paper', 'size']"
433,Napendekeza sana simu hii ya mkononi yenye bei ya juu,positive,"['napendekeza', 'sana', 'simu', 'hii', 'ya', 'mkononi', 'yenye', 'bei', 'ya', 'juu']","['napendekeza', 'sana', 'simu', 'hii', 'ya', 'mkononi', 'yenye', 'bei', 'ya', 'juu']"
434,lakini unapata furaha na uwazi zaidi kuliko simu yoyote ile iliyokuwa nayo awali,positive,"['lakini', 'unapata', 'furaha', 'na', 'uwazi', 'zaidi', 'kuliko', 'simu', 'yoyote', 'ile', 'iliyokuwa', 'nayo', 'awali']","['lakini', 'unapata', 'furaha', 'na', 'uwazi', 'zaidi', 'kuliko', 'simu', 'yoyote', 'ile', 'iliyokuwa', 'nayo', 'awali']"
435,Onyo litoweke!,negative,"['onyo', 'litoweke']","['onyo', 'litoweke']"
436,Laiti ningerudisha fomu hiyo na kurudisha pesa zangu,negative,"['laiti', 'ningerudisha', 'fomu', 'hiyo', 'na', 'kurudisha', 'pesa', 'zangu']","['laiti', 'ningerudisha', 'fomu', 'hiyo', 'na', 'kurudisha', 'pesa', 'zangu']"
437,kifaa kidogo hufanya kazi nyingi sana,positive,"['kifaa', 'kidogo', 'hufanya', 'kazi', 'nyingi', 'sana']","['kifaa', 'kidogo', 'hufanya', 'kazi', 'nyingi', 'sana']"
438,Nilikuwa nikiizungumzia kwa muda wa saa 1 12 na betri ingekaushwa kihalisi na kufa,negative,"['nilikuwa', 'nikiizungumzia', 'kwa', 'muda', 'wa', 'saa', 'na', 'betri', 'ingekaushwa', 'kihalisi', 'na', 'kufa']","['nilikuwa', 'nikiizungumzia', 'kwa', 'muda', 'wa', 'yangu', 'na', 'betri', 'ingekaushwa', 'kihalisi', 'na', 'kufa']"
439,Kama huoni jambo hilo kuwa baya sana kwa kuwa tena kiungo hicho huja na sikio moja tu lisiloweza kupendekeza hilo kwa mtu yeyote,negative,"['kama', 'huoni', 'jambo', 'hilo', 'kuwa', 'baya', 'sana', 'kwa', 'kuwa', 'tena', 'kiungo', 'hicho', 'huja', 'na', 'sikio', 'moja', 'tu', 'lisiloweza', 'kupendekeza', 'hilo', 'kwa', 'mtu', 'yeyote']","['kama', 'huoni', 'jambo', 'hilo', 'kuwa', 'baya', 'sana', 'kwa', 'kuwa', 'tena', 'kiungo', 'hicho', 'huja', 'na', 'sikio', 'moja', 'tu', 'lisiloweza', 'kupendekeza', 'hilo', 'kwa', 'mtu', 'yeyote']"
440,Aliudhika sana,negative,"['aliudhika', 'sana']","['aliudhika', 'sana']"
441,Huenda nimerithi kasoro lakini hatungeweza kuinunua tena kwa sababu ya ubora wa jengo pekee,negative,"['huenda', 'nimerithi', 'kasoro', 'lakini', 'hatungeweza', 'kuinunua', 'tena', 'kwa', 'sababu', 'ya', 'ubora', 'wa', 'jengo', 'pekee']","['huenda', 'nimerithi', 'kasoro', 'lakini', 'hatungeweza', 'kuinunua', 'tena', 'kwa', 'sababu', 'ya', 'ubora', 'wa', 'jengo', 'pekee']"
442,walifanya kesi hii iwe ndogo sana na ni ngumu sana kuweka,negative,"['walifanya', 'kesi', 'hii', 'iwe', 'ndogo', 'sana', 'na', 'ni', 'ngumu', 'sana', 'kuweka']","['walifanya', 'kesi', 'hii', 'iwe', 'ndogo', 'sana', 'na', 'ni', 'ngumu', 'sana', 'kuweka']"
443,Nilirudisha simu yangu kwa ajili ya maonyesho mapya,positive,"['nilirudisha', 'simu', 'yangu', 'kwa', 'ajili', 'ya', 'maonyesho', 'mapya']","['nilirudisha', 'simu', 'yangu', 'kwa', 'ajili', 'ya', 'maonyesho', 'mapya']"
444,Ningependekeza ninunue mfululizo wa jabra jax10 ambao hufanya kazi bila dosari pamoja na moto q,positive,"['ningependekeza', 'ninunue', 'mfululizo', 'wa', 'jabra', 'jax', 'ambao', 'hufanya', 'kazi', 'bila', 'dosari', 'pamoja', 'na', 'moto', 'q']","['ningependekeza', 'ninunue', 'mfululizo', 'wa', 'jabra', 'jax', 'ambao', 'hufanya', 'kazi', 'bila', 'dosari', 'pamoja', 'na', 'moto', 'q']"
445,Niliipekua mtandao wa intaneti na kupata kwamba hii ndiyo thamani bora zaidi,positive,"['niliipekua', 'mtandao', 'wa', 'intaneti', 'na', 'kupata', 'kwamba', 'hii', 'ndiyo', 'thamani', 'bora', 'zaidi']","['niliipekua', 'mtandao', 'wa', 'intaneti', 'na', 'kupata', 'kwamba', 'hii', 'ndiyo', 'thamani', 'bora', 'zaidi']"
446,halifai,negative,['halifai'],['halifai']
447,Nimefurahia sana bidhaa hiyo,positive,"['nimefurahia', 'sana', 'bidhaa', 'hiyo']","['nimefurahia', 'sana', 'bidhaa', 'hiyo']"
448,ukubwa wa kiwambo ni wa sehemu ya juu iliyo pana iliyo na taa za kutosha na ubora wa kamera ni bora sana kwa simu ya kamera,positive,"['ukubwa', 'wa', 'kiwambo', 'ni', 'wa', 'sehemu', 'ya', 'juu', 'iliyo', 'pana', 'iliyo', 'na', 'taa', 'za', 'kutosha', 'na', 'ubora', 'wa', 'kamera', 'ni', 'bora', 'sana', 'kwa', 'simu', 'ya', 'kamera']","['ukubwa', 'wa', 'kiwambo', 'ni', 'wa', 'sehemu', 'ya', 'juu', 'iliyo', 'pana', 'iliyo', 'na', 'taa', 'za', 'kutosha', 'na', 'ubora', 'wa', 'kamera', 'ni', 'bora', 'sana', 'kwa', 'simu', 'ya', 'kamera']"
449,hapa hakuna jambo lolote baya ninaloweza kusema kuhusu kichwa hiki,negative,"['hapa', 'hakuna', 'jambo', 'lolote', 'baya', 'ninaloweza', 'kusema', 'kuhusu', 'kichwa', 'hiki']","['hapa', 'hakuna', 'jambo', 'lolote', 'baya', 'ninaloweza', 'kusema', 'kuhusu', 'kichwa', 'hiki']"
450,ifurahie sana kupata bidhaa hii kwenye amazon ni vigumu kuipata ikiwa imeuzwa kwa bei ya juu,positive,"['ifurahie', 'sana', 'kupata', 'bidhaa', 'hii', 'kwenye', 'amazon', 'ni', 'vigumu', 'kuipata', 'ikiwa', 'imeuzwa', 'kwa', 'bei', 'ya', 'juu']","['ifurahie', 'sana', 'kupata', 'bidhaa', 'hii', 'kwenye', 'amazon', 'ni', 'vigumu', 'kuipata', 'ikiwa', 'imeuzwa', 'kwa', 'bei', 'ya', 'juu']"
451,Kubebeka na kufanya kazi vizuri,positive,"['kubebeka', 'na', 'kufanya', 'kazi', 'vizuri']","['kubebeka', 'na', 'kufanya', 'kazi', 'vizuri']"
452,Mfanyakazi mwenzangu ninapata pesa kidogo sana kwa ajili ya mapokezi lakini onyesho ni zuri sana,positive,"['mfanyakazi', 'mwenzangu', 'ninapata', 'pesa', 'kidogo', 'sana', 'kwa', 'ajili', 'ya', 'mapokezi', 'lakini', 'onyesho', 'ni', 'zuri', 'sana']","['mfanyakazi', 'mwenzangu', 'ninapata', 'pesa', 'kidogo', 'sana', 'kwa', 'ajili', 'ya', 'mapokezi', 'lakini', 'onyesho', 'ni', 'zuri', 'sana']"
453,Hata niliipindua kabisa kabla ya mimi kwenda kulala na kung'oa jino la buluu na wfi na kugundua kwamba lilikuwa na sehemu 20 tu iliyosalia asubuhi,negative,"['hata', 'niliipindua', 'kabisa', 'kabla', 'ya', 'mimi', 'kwenda', 'kulala', 'na', 'kung', 'oa', 'jino', 'la', 'buluu', 'na', 'wfi', 'na', 'kugundua', 'kwamba', 'lilikuwa', 'na', 'sehemu', 'tu', 'iliyosalia', 'asubuhi']","['hata', 'niliipindua', 'kabisa', 'kabla', 'ya', 'mimi', 'kwenda', 'kulala', 'na', 'kung', 'oa', 'jino', 'la', 'buluu', 'na', 'wfi', 'na', 'kugundua', 'kwamba', 'lilikuwa', 'na', 'sehemu', 'tu', 'iliyosalia', 'asubuhi']"
454,Pia ove alikuwa na matatizo na simu ikisoma kadi ya kumbukumbu ambayo sikuzote mimi huizima kisha huizima tena,negative,"['pia', 'ove', 'alikuwa', 'na', 'matatizo', 'na', 'simu', 'ikisoma', 'kadi', 'ya', 'kumbukumbu', 'ambayo', 'sikuzote', 'mimi', 'huizima', 'kisha', 'huizima', 'tena']","['pia', 'ove', 'alikuwa', 'na', 'matatizo', 'na', 'simu', 'ikisoma', 'kadi', 'ya', 'kumbukumbu', 'ambayo', 'sikuzote', 'mimi', 'huizima', 'kisha', 'huizima', 'tena']"
455,si nzuri unapovaa kofia au miwani ya jua,negative,"['si', 'nzuri', 'unapovaa', 'kofia', 'au', 'miwani', 'ya', 'jua']","['si', 'nzuri', 'unapovaa', 'kofia', 'au', 'miwani', 'ya', 'jua']"
456,Bidhaa zilizosafirishwa kwa wakati unaofaa na zilizo bora,positive,"['bidhaa', 'zilizosafirishwa', 'kwa', 'wakati', 'unaofaa', 'na', 'zilizo', 'bora']","['bidhaa', 'zilizosafirishwa', 'kwa', 'wakati', 'unaofaa', 'na', 'zilizo', 'bora']"
457,keyboard label,positive,"['keyboard', 'label']","['keyboard', 'label']"
458,Imetengenezwa vizuri sana na hufaana kabisa na gx2 yangu,positive,"['imetengenezwa', 'vizuri', 'sana', 'na', 'hufaana', 'kabisa', 'na', 'gx', 'yangu']","['imetengenezwa', 'vizuri', 'sana', 'na', 'hufaana', 'kabisa', 'na', 'gx', 'yangu']"
459,simu mbaya sana,negative,"['simu', 'mbaya', 'sana']","['simu', 'mbaya', 'sana']"
460,Sehemu isiyo na betri,negative,"['sehemu', 'isiyo', 'na', 'betri']","['sehemu', 'isiyo', 'na', 'betri']"
461,tungeyapendekeza kwa wengine,positive,"['tungeyapendekeza', 'kwa', 'wengine']","['tungeyapendekeza', 'kwa', 'wengine']"
462,Punguza programu za kompyuta kwa kutumia kompyuta yangu,negative,"['punguza', 'programu', 'za', 'kompyuta', 'kwa', 'kutumia', 'kompyuta', 'yangu']","['punguza', 'programu', 'za', 'kompyuta', 'kwa', 'kutumia', 'kompyuta', 'yangu']"
463,Alivunjika moyo,negative,"['alivunjika', 'moyo']","['alivunjika', 'moyo']"
464,sauti mbaya iliyo wazi,negative,"['sauti', 'mbaya', 'iliyo', 'wazi']","['sauti', 'mbaya', 'iliyo', 'wazi']"
465,betri hufanya kazi nyingi sana,positive,"['betri', 'hufanya', 'kazi', 'nyingi', 'sana']","['betri', 'hufanya', 'kazi', 'nyingi', 'sana']"
466,Hawatoi wanunuzi wenye majuto juu ya hili,negative,"['hawatoi', 'wanunuzi', 'wenye', 'majuto', 'juu', 'ya', 'hili']","['hawatoi', 'wanunuzi', 'wenye', 'majuto', 'juu', 'ya', 'hili']"
467,amekatishwa tamaa sana kwa kutumia kiseyeye,negative,"['amekatishwa', 'tamaa', 'sana', 'kwa', 'kutumia', 'kiseyeye']","['amekatishwa', 'tamaa', 'sana', 'kwa', 'kutumia', 'kiseyeye']"
468,Nagundua kuwa hii haina udhuru na hivyo labda itarudisha simu hii na labda kubadili wabebaji,negative,"['nagundua', 'kuwa', 'hii', 'haina', 'udhuru', 'na', 'hivyo', 'labda', 'itarudisha', 'simu', 'hii', 'na', 'labda', 'kubadili', 'wabebaji']","['nagundua', 'kuwa', 'hii', 'haina', 'udhuru', 'na', 'hivyo', 'labda', 'itarudisha', 'simu', 'hii', 'na', 'labda', 'kubadili', 'wabebaji']"
469,mwenye sura nzuri na mwenye nguvu,positive,"['mwenye', 'sura', 'nzuri', 'na', 'mwenye', 'nguvu']","['mwenye', 'sura', 'nzuri', 'na', 'mwenye', 'nguvu']"
470,Nilikuwa na huduma ya gari kwa miaka 2 au 3 sasa na ninaifurahia sana,positive,"['nilikuwa', 'na', 'huduma', 'ya', 'gari', 'kwa', 'miaka', 'au', 'sasa', 'na', 'ninaifurahia', 'sana']","['nilikuwa', 'na', 'huduma', 'ya', 'gari', 'kwa', 'miaka', 'au', 'sasa', 'na', 'ninaifurahia', 'sana']"
471,Utaratibu wa kuweka habari mpya ni mgumu na wenye kuchosha,negative,"['utaratibu', 'wa', 'kuweka', 'habari', 'mpya', 'ni', 'mgumu', 'na', 'wenye', 'kuchosha']","['utaratibu', 'wa', 'kuweka', 'habari', 'mpya', 'ni', 'mgumu', 'na', 'wenye', 'kuchosha']"
472,Kukatishwa tamaa na chuki yoyote inayoingia katika sikio langu,negative,"['kukatishwa', 'tamaa', 'na', 'chuki', 'yoyote', 'inayoingia', 'katika', 'sikio', 'langu']","['kukatishwa', 'tamaa', 'na', 'chuki', 'yoyote', 'inayoingia', 'katika', 'sikio', 'langu']"
473,Programu muhimu za kuendesha motabolas,positive,"['programu', 'muhimu', 'za', 'kuendesha', 'motabolas']","['programu', 'muhimu', 'za', 'kuendesha', 'motabolas']"
474,safari hiyo ilichukua muda mrefu,positive,"['safari', 'hiyo', 'ilichukua', 'muda', 'mrefu']","['safari', 'hiyo', 'ilichukua', 'muda', 'mrefu']"
475,Ni rahisi sana kutumia,positive,"['ni', 'rahisi', 'sana', 'kutumia']","['ni', 'rahisi', 'sana', 'kutumia']"
476,Kutostarehe katika sikio usitumie kwa kutumia lug vx99 env,negative,"['kutostarehe', 'katika', 'sikio', 'usitumie', 'kwa', 'kutumia', 'lug', 'vx', 'env']","['kutostarehe', 'katika', 'sikio', 'usitumie', 'kwa', 'kutumia', 'lug', 'vx', 'env']"
477,kiasi cha sauti kikirushwa kutoka kwenye kizio hicho hadi mahali ambapo hapajulikani,negative,"['kiasi', 'cha', 'sauti', 'kikirushwa', 'kutoka', 'kwenye', 'kizio', 'hicho', 'hadi', 'mahali', 'ambapo', 'hapajulikani']","['kiasi', 'cha', 'sauti', 'kikirushwa', 'kutoka', 'kwenye', 'kizio', 'hicho', 'hadi', 'mahali', 'ambapo', 'hapajulikani']"
478,lina shtaka kwa muda mrefu ni lenye kustarehesha chini ya hali ndefu za kuvaa na ubora wa sauti ni mkubwa sana,positive,"['lina', 'shtaka', 'kwa', 'muda', 'mrefu', 'ni', 'lenye', 'kustarehesha', 'chini', 'ya', 'hali', 'ndefu', 'za', 'kuvaa', 'na', 'ubora', 'wa', 'sauti', 'ni', 'mkubwa', 'sana']","['lina', 'shtaka', 'kwa', 'muda', 'mrefu', 'ni', 'lenye', 'kustarehesha', 'chini', 'ya', 'hali', 'ndefu', 'za', 'kuvaa', 'na', 'ubora', 'wa', 'sauti', 'ni', 'mkubwa', 'sana']"
479,"Zinazo kwenda, kisha zikajificha,",negative,"['zinazo', 'kwenda', 'kisha', 'zikajificha']","['zinazo', 'kwenda', 'kisha', 'zikajificha']"
480,kibodi inafaa sana na ni imara vya kutosha kutotarajia matatizo yoyote,positive,"['kibodi', 'inafaa', 'sana', 'na', 'ni', 'imara', 'vya', 'kutosha', 'kutotarajia', 'matatizo', 'yoyote']","['kibodi', 'inafaa', 'sana', 'na', 'ni', 'imara', 'vya', 'kutosha', 'kutotarajia', 'matatizo', 'yoyote']"
481,Hata hivyo ni vigumu kuelewa gharama za veriz hata ingawa mipango yao ya kwanza ni sahili,negative,"['hata', 'hivyo', 'ni', 'vigumu', 'kuelewa', 'gharama', 'za', 'veriz', 'hata', 'ingawa', 'mipango', 'yao', 'ya', 'kwanza', 'ni', 'sahili']","['hata', 'hivyo', 'ni', 'vigumu', 'kuelewa', 'gharama', 'za', 'veriz', 'hata', 'ingawa', 'mipango', 'yao', 'ya', 'kwanza', 'ni', 'sahili']"
482,baada ya kutumia betri hizo usiku kucha kunakuwa na matokeo makubwa,positive,"['baada', 'ya', 'kutumia', 'betri', 'hizo', 'usiku', 'kucha', 'kunakuwa', 'na', 'matokeo', 'makubwa']","['baada', 'ya', 'kutumia', 'betri', 'hizo', 'usiku', 'kucha', 'kunakuwa', 'na', 'matokeo', 'makubwa']"
483,Ndio sasa tena? Na nyinyi mlikuwa mkiihimiza.,positive,"['ndio', 'sasa', 'tena', 'na', 'nyinyi', 'mlikuwa', 'mkiihimiza']","['ndio', 'sasa', 'tena', 'na', 'nyinyi', 'mlikuwa', 'mkiihimiza']"
484,Ninaipenda simu hii,positive,"['ninaipenda', 'simu', 'hii']","['ninaipenda', 'simu', 'hii']"
485,○ hali ya kukata tamaa,negative,"['hali', 'ya', 'kukata', 'tamaa']","['hali', 'ya', 'kukata', 'tamaa']"
486,si mtumiaji mwenye urafiki,negative,"['si', 'mtumiaji', 'mwenye', 'urafiki']","['si', 'mtumiaji', 'mwenye', 'urafiki']"
487,Kwa kusikitisha uwezo wa kujua hasa unapokea simu ni jambo la maana sana na simu hii ni yenye kusikitisha kwa habari hiyo,negative,"['kwa', 'kusikitisha', 'uwezo', 'wa', 'kujua', 'hasa', 'unapokea', 'simu', 'ni', 'jambo', 'la', 'maana', 'sana', 'na', 'simu', 'hii', 'ni', 'yenye', 'kusikitisha', 'kwa', 'habari', 'hiyo']","['kwa', 'kusikitisha', 'uwezo', 'wa', 'kujua', 'hasa', 'unapokea', 'simu', 'ni', 'jambo', 'la', 'maana', 'sana', 'na', 'simu', 'hii', 'ni', 'yenye', 'kusikitisha', 'kwa', 'habari', 'hiyo']"
488,Kisha nikabadilishana simu ileile hata ile iliyokuwa na tatizo hilohilo,negative,"['kisha', 'nikabadilishana', 'simu', 'ileile', 'hata', 'ile', 'iliyokuwa', 'na', 'tatizo', 'hilohilo']","['kisha', 'nikabadilishana', 'simu', 'ileile', 'hata', 'ile', 'iliyokuwa', 'na', 'tatizo', 'hilohilo']"
489,Hii hutokeza simu ikiwa imekwama kwenye sohani au bubu,negative,"['hii', 'hutokeza', 'simu', 'ikiwa', 'imekwama', 'kwenye', 'sohani', 'au', 'bubu']","['hii', 'hutokeza', 'simu', 'ikiwa', 'imekwama', 'kwenye', 'sohani', 'au', 'bubu']"
490,Miamba hii ya pida,positive,"['miamba', 'hii', 'ya', 'pida']","['miamba', 'hii', 'ya', 'pida']"
491,Ni kubwa mno kuweza kutumiwa kama kifaa kidogo chenye umbo la mvyauso na chenye ubora wa hali ya juu katika sehemu hizo,positive,"['ni', 'kubwa', 'mno', 'kuweza', 'kutumiwa', 'kama', 'kifaa', 'kidogo', 'chenye', 'umbo', 'la', 'mvyauso', 'na', 'chenye', 'ubora', 'wa', 'hali', 'ya', 'juu', 'katika', 'sehemu', 'hizo']","['ni', 'kubwa', 'mno', 'kuweza', 'kutumiwa', 'kama', 'kifaa', 'kidogo', 'chenye', 'umbo', 'la', 'mvyauso', 'na', 'chenye', 'ubora', 'wa', 'hali', 'ya', 'juu', 'katika', 'sehemu', 'hizo']"
492,Bila shaka ningependekeza jabra bt250v kwa ajili ya wale wanaotafuta faraja na bei kubwa,positive,"['bila', 'shaka', 'ningependekeza', 'jabra', 'bt', 'v', 'kwa', 'ajili', 'ya', 'wale', 'wanaotafuta', 'faraja', 'na', 'bei', 'kubwa']","['bila', 'shaka', 'ningependekeza', 'jabra', 'bt', 'v', 'kwa', 'ajili', 'ya', 'wale', 'wanaotafuta', 'faraja', 'na', 'bei', 'kubwa']"
493,Nilikuwa na verizon miaka 2 iliyopita na nilifurahia sana utumishi wao,positive,"['nilikuwa', 'na', 'verizon', 'miaka', 'iliyopita', 'na', 'nilifurahia', 'sana', 'utumishi', 'wao']","['nilikuwa', 'na', 'verizon', 'miaka', 'iliyopita', 'na', 'nilifurahia', 'sana', 'utumishi', 'wao']"
494,Sehemu maridadi ya takataka,negative,"['sehemu', 'maridadi', 'ya', 'takataka']","['sehemu', 'maridadi', 'ya', 'takataka']"
495,Uzi wa kuunganisha vitu ulikuwa na ukubwa usiofaa,negative,"['uzi', 'wa', 'kuunganisha', 'vitu', 'ulikuwa', 'na', 'ukubwa', 'usiofaa']","['uzi', 'wa', 'kuunganisha', 'vitu', 'ulikuwa', 'na', 'ukubwa', 'usiofaa']"
496,hufanya kazi kama inavyoelezwa,positive,"['hufanya', 'kazi', 'kama', 'inavyoelezwa']","['hufanya', 'kazi', 'kama', 'inavyoelezwa']"
497,"Isipo kuwa fedha zenu, na mali zenu kwa miezi 11 sasa",negative,"['isipo', 'kuwa', 'fedha', 'zenu', 'na', 'mali', 'zenu', 'kwa', 'miezi', 'sasa']","['isipo', 'kuwa', 'fedha', 'zenu', 'na', 'mali', 'zenu', 'kwa', 'miezi', 'sasa']"
498,nunua vitu vibaya,negative,"['nunua', 'vitu', 'vibaya']","['nunua', 'vitu', 'vibaya']"
499,likiwa limeridhika,positive,"['likiwa', 'limeridhika']","['likiwa', 'limeridhika']"
500,kelele ya bose kufuta ni ya kustaajabisha sana kwa mpita - njia,positive,"['kelele', 'ya', 'bose', 'kufuta', 'ni', 'ya', 'kustaajabisha', 'sana', 'kwa', 'mpita', 'njia']","['kelele', 'ya', 'bose', 'kufuta', 'ni', 'ya', 'kustaajabisha', 'sana', 'kwa', 'mpita', 'njia']"
501,Hakika betri hii ina faida kubwa.,positive,"['hakika', 'betri', 'hii', 'ina', 'faida', 'kubwa']","['hakika', 'betri', 'hii', 'ina', 'faida', 'kubwa']"
502,Sipsi yenye kasoro,negative,"['sipsi', 'yenye', 'kasoro']","['sipsi', 'yenye', 'kasoro']"
503,"Laiti nisingeli mfanya fulani kuwa nyota,",negative,"['laiti', 'nisingeli', 'mfanya', 'fulani', 'kuwa', 'nyota']","['laiti', 'nisingeli', 'mfanya', 'fulani', 'kuwa', 'nyota']"
504,Imevaa miwani na inafaa pamoja nayo,positive,"['imevaa', 'miwani', 'na', 'inafaa', 'pamoja', 'nayo']","['imevaa', 'miwani', 'na', 'inafaa', 'pamoja', 'nayo']"
505,ubora wa kifaa hicho haukubaliki ikiwa uko katika eneo tulivu sana ukaribialo kusikia chochote,negative,"['ubora', 'wa', 'kifaa', 'hicho', 'haukubaliki', 'ikiwa', 'uko', 'katika', 'eneo', 'tulivu', 'sana', 'ukaribialo', 'kusikia', 'chochote']","['ubora', 'wa', 'kifaa', 'hicho', 'haukubaliki', 'ikiwa', 'uko', 'katika', 'eneo', 'tulivu', 'sana', 'ukaribialo', 'kusikia', 'chochote']"
506,Singependekeza kitu hiki kwa mtu yeyote,negative,"['singependekeza', 'kitu', 'hiki', 'kwa', 'mtu', 'yeyote']","['singependekeza', 'kitu', 'hiki', 'kwa', 'mtu', 'yeyote']"
507,holi iliyowasili haikulingana na ile picha katika tangazo,negative,"['holi', 'iliyowasili', 'haikulingana', 'na', 'ile', 'picha', 'katika', 'tangazo']","['holi', 'iliyowasili', 'haikulingana', 'na', 'ile', 'picha', 'katika', 'tangazo']"
508,Matatizo makubwa sana,positive,"['matatizo', 'makubwa', 'sana']","['matatizo', 'makubwa', 'sana']"
509,kama vile pitiaji la awali lililoonekana katika chombo hiki na hakuna chochote kinachotendeka,negative,"['kama', 'vile', 'pitiaji', 'la', 'awali', 'lililoonekana', 'katika', 'chombo', 'hiki', 'na', 'hakuna', 'chochote', 'kinachotendeka']","['kama', 'vile', 'pitiaji', 'la', 'awali', 'lililoonekana', 'katika', 'chombo', 'hiki', 'na', 'hakuna', 'chochote', 'kinachotendeka']"
510,Picha hii ya simu ya chura inavutia sana na inavutia sana,positive,"['picha', 'hii', 'ya', 'simu', 'ya', 'chura', 'inavutia', 'sana', 'na', 'inavutia', 'sana']","['picha', 'hii', 'ya', 'simu', 'ya', 'chura', 'inavutia', 'sana', 'na', 'inavutia', 'sana']"
